T T 3 3 3 3 6 6 6 6 12 12 12 12 24 24 24 24 
alg alg MIP MIP DP DP MIP MIP DP DP MIP MIP DP DP MIP MIP DP DP 
meas meas avg std avg std avg std avg std avg std avg std avg std avg std 
3 1 0.1876 0.0494904 0 0 0.2216 0.0648868 0.0032 0.00715542 0.206 0.0385552 0.0376 0.00814248 0.278 0.0459402 0.6094 0.0157575 
3 2 0.1218 0.00715542 0 0 0.1686 0.0130307 0 0 0.222 0.0234307 0.0406 0.00832466 0.306 0.0177623 0.8184 0.00876356 
6 1 0.1248 0.0113225 0 0 0.1812 0.0263572 0.0062 0.00849706 0.2532 0.0861087 0.078 0 0.3812 0.0466551 1.4658 0.0475416 
6 3 0.1718 0.024984 0 0 0.1716 0.029399 0.0064 0.00876356 0.2968 0.072251 0.0718 0.00895545 1.0188 0.655113 1.5936 0.0155016 
6 5 0.1312 0.0141492 0 0 0.1782 0.0176833 0.003 0.0067082 0.328 0.0530801 0.0466 0.000547723 1.7184 0.874824 1.553 0.0688004 
12 1 0.144 0.0067082 0 0 0.194 0.0669739 0.003 0.0067082 0.3906 0.0826335 0.1218 0.0133866 1.0374 0.371307 2.3716 0.0462472 
12 4 0.131 0.00821584 0 0 0.1902 0.00715542 0.0096 0.00876356 0.3434 0.0311256 0.1128 0.00683374 3.1714 2.82757 2.7264 0.111597 
12 7 0.1496 0.023776 0 0 0.253 0.104826 0.0032 0.00715542 0.4528 0.0527845 0.0972 0.00715542 8.9676 2.31847 2.7932 0.0226208 
12 11 0.1282 0.00715542 0.0032 0.00715542 0.1844 0.030468 0.0062 0.00849706 0.4812 0.100301 0.0564 0.00859069 348.034 424.14 2.8558 0.0133866 
