T T 4 4 4 4 8 8 8 8 16 16 16 16 32 32 32 32 
alg alg MIP MIP DP DP MIP MIP DP DP MIP MIP DP DP MIP MIP DP DP 
meas meas avg std avg std avg std avg std avg std avg std avg std avg std 
3 1 0.1382 0.0109636 0.003 0.0067082 0.1632 0.0174126 0 0 0.1972 0.0383758 0.0492 0.00715542 0.2646 0.0467686 1.0674 0.0319734 
3 2 0.12 0.0173494 0 0 0.1322 0.0138094 0.0032 0.00715542 0.2186 0.0167571 0.0554 0.00859069 0.3108 0.0441101 1.9276 0.00676757 
6 1 0.1394 0.0109681 0.0032 0.00715542 0.1614 0.0137586 0.006 0.00821584 0.2606 0.0387208 0.0808 0.00739594 0.816 0.42844 1.7902 0.0407087 
6 3 0.1302 0.0138636 0 0 0.1894 0.0202559 0.003 0.0067082 0.273 0.0357281 0.0868 0.00849706 2.0314 0.997477 3.499 0.07712 
6 5 0.1492 0.0303183 0 0 0.1802 0.00840833 0 0 0.3662 0.0813124 0.0898 0.00715542 5.3242 2.33551 4.8152 0.00849706 
12 1 0.143 0.0067082 0 0 0.2546 0.0472049 0.0064 0.00876356 0.5028 0.132056 0.1272 0.0131034 2.4334 1.67659 2.863 0.0799156 
12 4 0.1368 0.0131034 0.003 0.0067082 0.2206 0.0481954 0.0094 0.00859069 0.5036 0.12806 0.1428 0.00683374 5.0668 1.77853 5.0672 0.0450577 
12 7 0.1342 0.00840833 0.0032 0.00715542 0.2282 0.0303183 0.0092 0.00840833 0.687 0.162131 0.147 0.00868907 13.0258 4.97941 7.5062 0.0323605 
