T T 3 3 3 3 6 6 6 6 12 12 12 12 24 24 24 24 
alg alg MIP MIP DP DP MIP MIP DP DP MIP MIP DP DP MIP MIP DP DP 
meas meas avg std avg std avg std avg std avg std avg std avg std avg std 
3 1 0.2028 0.061406 0 0 0.2308 0.091748 0 0 0.2624 0.0588073 0.0248 0.00849706 0.4186 0.087194 0.4462 0.0088713 
3 2 0.1188 0.00849706 0 0 0.181 0.032311 0 0 0.2962 0.0753969 0.0222 0.00895545 0.4522 0.0191885 0.6396 0.0155016 
6 1 0.1278 0.00683374 0 0 0.2278 0.0631364 0 0 0.3992 0.195744 0.0498 0.00739594 0.646 0.112927 0.9048 0.0222755 
6 3 0.1436 0.012973 0 0 0.1934 0.0325776 0.0032 0.00715542 0.4528 0.123076 0.0404 0.00814248 1.6224 1.11239 1.1548 0.0109864 
6 5 0.1278 0.0129112 0 0 0.1994 0.0418724 0 0 0.462 0.0860203 0.0342 0.00715542 2.3964 1.00427 1.2852 0.00849706 
12 1 0.1404 0.000547723 0.0032 0.00715542 0.2434 0.128891 0.0062 0.00849706 0.6096 0.0634768 0.0748 0.00715542 1.5818 0.674413 1.3948 0.0241392 
12 4 0.1278 0.0129112 0 0 0.2528 0.0553642 0.003 0.0067082 0.5212 0.0809179 0.0684 0.00876356 5.1604 4.89919 1.7752 0.00683374 
12 7 0.1468 0.0286827 0.003 0.0067082 0.2402 0.0658688 0 0 0.6394 0.0877514 0.0626 0.000547723 14.1714 4.2062 2.1908 0.0169912 
12 11 0.1496 0.0209117 0 0 0.2218 0.0203642 0 0 0.7338 0.199446 0.0466 0.000547723 847.141 1478.89 2.922 0.57713 
